,Unnamed: 0,Data,PRECIP. TOTAL (mm),PRESSÃO ATM. (mB),PRESSÃO MAX. (mB),PRESSÃO MIN. (mB),RADIAÇÃO GLOBAL (KJ/m²),TEMP. AR (°C),TEMP. ORVALHO (°C),TEMP. MÁX. (°C),TEMP. MÍN. (°C),TEMP. ORVALHO MAX. (°C),TEMP. ORVALHO MIN. (°C),UMID. REL. MAX. (%),UMID. REL. MIN. (%),UMID. REL. AR (%),DIREÇÃO VENTO (°),RAJADA VENTO (m/s),VEL. VENTO (m/s)
5086,5086,2015-12-05,1.5,950.2916666666666,950.7166666666668,949.8458333333332,-4059.675,22.4375,18.929166666666667,23.2125,21.791666666666668,19.35833333333333,18.541666666666668,84.08333333333333,77.08333333333333,81.20833333333333,118.66666666666669,7.0,3.2458333333333336
5087,5087,2015-12-06,0.6166666666666667,951.6375,951.95,951.3666666666668,-3677.275,21.633333333333336,18.89583333333333,21.995833333333334,21.2625,19.28333333333333,18.58333333333333,87.5,83.16666666666667,85.125,196.83333333333331,4.325,1.6875
5088,5088,2015-12-07,0.0,951.6041666666666,951.8666666666668,951.3916666666668,-2919.1416666666664,23.604166666666668,19.39583333333333,24.2125,23.058333333333334,19.975,18.825,81.41666666666667,75.79166666666667,78.83333333333333,202.45833333333331,3.1958333333333333,1.0625
5089,5089,2015-12-08,0.0,951.2208333333332,951.4541666666668,950.9458333333332,-3128.6666666666665,25.96666666666667,19.9125,26.70833333333333,25.245833333333334,20.504166666666663,19.35833333333333,74.20833333333333,67.625,71.0,87.04166666666667,4.416666666666667,2.091666666666667
5090,5090,2015-12-09,0.0,952.1833333333334,952.4791666666666,951.9291666666668,-3235.183333333333,26.85,19.775,27.320833333333336,26.354166666666668,20.191666666666663,19.3,68.16666666666667,63.625,65.91666666666667,93.04166666666669,7.475,3.279166666666667
5091,5091,2015-12-10,0.0333333333333333,952.25,952.5833333333334,951.7958333333332,-3642.158333333333,25.34166666666667,20.7625,26.041666666666668,24.883333333333336,21.241666666666667,20.466666666666665,78.45833333333333,73.45833333333333,75.91666666666667,68.95833333333333,7.291666666666667,3.2458333333333336
5092,5092,2015-12-11,0.0333333333333333,952.3041666666668,952.6833333333334,952.0958333333332,-3144.7375,25.258333333333336,20.120833333333334,25.92083333333333,24.5125,20.716666666666665,19.654166666666665,78.45833333333333,71.75,74.83333333333333,100.41666666666669,6.683333333333334,2.5875
5093,5093,2015-12-12,0.3416666666666667,952.0083333333332,952.3416666666668,951.5541666666668,-3696.875,23.35,18.725,24.23333333333333,22.6375,19.23333333333333,18.416666666666668,79.20833333333333,72.20833333333333,75.91666666666667,80.95833333333333,8.9625,4.541666666666667
5094,5094,2015-12-13,0.0,950.175,950.5375,949.9083333333332,-3077.879166666667,26.23333333333333,18.97083333333333,26.8125,25.575,19.475,18.5375,67.875,63.04166666666666,65.25,63.0,8.1875,4.133333333333334
5095,5095,2015-12-14,0.3416666666666666,950.2541666666666,950.575,950.0166666666668,-3346.5875,26.90416666666667,20.370833333333334,27.85,26.1125,21.029166666666665,19.829166666666666,71.875,64.33333333333333,67.95833333333333,57.75,8.941666666666666,3.9125
